ref,sender_code,receiver_code,amount,currency,timestamp,channel
TXN-000036,ACC-0010,ACC-0002,7696.88,USD,2026-04-01T13:23:00,transfer
TXN-000037,ACC-0010,ACC-0007,6101.97,USD,2026-03-18T21:25:00,transfer
TXN-000038,ACC-0010,ACC-0006,2265.45,USD,2026-04-04T11:56:00,mobile
TXN-000039,ACC-0010,ACC-0016,6969.81,USD,2026-03-23T20:24:00,transfer
TXN-000040,ACC-0010,ACC-0019,7643.79,USD,2026-04-09T14:16:00,mobile
TXN-000041,ACC-0010,ACC-0009,3812.66,USD,2026-03-18T20:24:00,mobile
TXN-000042,ACC-0011,ACC-0020,7164.85,USD,2026-03-17T16:42:00,mobile
TXN-000043,ACC-0011,ACC-0003,4346.98,USD,2026-03-31T17:00:00,transfer
TXN-000044,ACC-0011,ACC-0012,6410.86,USD,2026-04-12T14:41:00,transfer
TXN-000045,ACC-0011,ACC-0020,5508.91,USD,2026-04-06T19:00:00,transfer
TXN-000046,ACC-0011,ACC-0015,2239.99,USD,2026-04-10T18:58:00,transfer
TXN-000047,ACC-0012,ACC-0002,572.5,USD,2026-03-29T12:35:00,transfer
TXN-000048,ACC-0012,ACC-0006,6735.1,USD,2026-04-13T20:49:00,transfer
TXN-000049,ACC-0012,ACC-0008,6481.76,USD,2026-04-11T16:10:00,transfer
TXN-000050,ACC-0012,ACC-0009,5323.34,USD,2026-04-12T17:58:00,mobile
TXN-000051,ACC-0012,ACC-0019,1554.39,USD,2026-04-03T19:52:00,transfer
TXN-000052,ACC-0013,ACC-0025,1180.46,USD,2026-04-10T11:34:00,transfer
TXN-000053,ACC-0013,ACC-0002,6121.63,USD,2026-03-25T15:10:00,transfer
TXN-000054,ACC-0014,ACC-0021,4944.47,USD,2026-03-15T18:10:00,transfer
TXN-000055,ACC-0014,ACC-0002,7166.06,USD,2026-03-20T19:27:00,mobile
TXN-000056,ACC-0014,ACC-0010,1600.69,USD,2026-04-11T11:31:00,transfer
TXN-000057,ACC-0015,ACC-0013,7351.14,USD,2026-03-20T10:50:00,mobile
TXN-000058,ACC-0015,ACC-0020,3662.02,USD,2026-03-20T18:55:00,transfer
TXN-000059,ACC-0015,ACC-0006,7028.38,USD,2026-03-19T11:49:00,transfer
TXN-000060,ACC-0016,ACC-0009,2644.49,USD,2026-04-13T18:25:00,transfer
TXN-000061,ACC-0016,ACC-0010,7599.0,USD,2026-04-10T09:56:00,transfer
TXN-000062,ACC-0016,ACC-0019,2506.71,USD,2026-04-11T16:27:00,transfer
TXN-000063,ACC-0016,ACC-0002,2959.19,USD,2026-03-26T19:20:00,transfer
TXN-000064,ACC-0017,ACC-0002,3137.91,USD,2026-04-06T18:14:00,mobile
TXN-000065,ACC-0017,ACC-0024,5460.19,USD,2026-03-21T13:47:00,transfer
TXN-000066,ACC-0017,ACC-0014,4195.72,USD,2026-03-17T21:14:00,mobile
TXN-000067,ACC-0017,ACC-0018,3368.98,USD,2026-04-13T12:15:00,transfer
TXN-000068,ACC-0018,ACC-0020,932.86,USD,2026-04-14T18:01:00,mobile
TXN-000069,ACC-0018,ACC-0005,7224.45,USD,2026-04-09T19:19:00,transfer
TXN-000070,ACC-0018,ACC-0009,1629.24,USD,2026-03-21T15:09:00,transfer
TXN-000071,ACC-0019,ACC-0017,3287.44,USD,2026-03-31T10:10:00,mobile
TXN-000072,ACC-0019,ACC-0011,3590.39,USD,2026-03-30T18:05:00,transfer
TXN-000073,ACC-0020,ACC-0006,2014.44,USD,2026-03-27T16:13:00,transfer
TXN-000074,ACC-0020,ACC-0014,4968.81,USD,2026-03-17T21:11:00,mobile
TXN-000075,ACC-0020,ACC-0016,5957.59,USD,2026-04-07T11:53:00,transfer
TXN-000076,ACC-0020,ACC-0006,5281.49,USD,2026-03-24T21:32:00,transfer
TXN-000077,ACC-0020,ACC-0008,2075.94,USD,2026-04-07T19:45:00,transfer
TXN-000078,ACC-0020,ACC-0013,4290.11,USD,2026-04-12T12:16:00,transfer
TXN-000079,ACC-0021,ACC-0011,4066.43,USD,2026-04-11T21:40:00,transfer
TXN-000080,ACC-0021,ACC-0002,3606.71,USD,2026-04-04T12:59:00,transfer
TXN-000081,ACC-0021,ACC-0023,2484.26,USD,2026-04-06T19:16:00,transfer
TXN-000082,ACC-0021,ACC-0019,4336.45,USD,2026-04-08T20:23:00,transfer
TXN-000083,ACC-0021,ACC-0006,2887.64,USD,2026-04-10T20:19:00,transfer
TXN-000084,ACC-0021,ACC-0007,3728.67,USD,2026-03-15T09:22:00,mobile
TXN-000085,ACC-0022,ACC-0020,810.9,USD,2026-03-18T15:01:00,transfer
TXN-000086,ACC-0022,ACC-0011,7140.82,USD,2026-04-07T17:09:00,transfer
TXN-000087,ACC-0022,ACC-0001,426.58,USD,2026-04-08T12:21:00,transfer
TXN-000088,ACC-0023,ACC-0021,205.79,USD,2026-04-11T19:27:00,transfer
TXN-000089,ACC-0023,ACC-0024,6783.35,USD,2026-03-22T14:31:00,transfer
TXN-000090,ACC-0024,ACC-0013,6187.86,USD,2026-03-17T19:16:00,transfer
TXN-000091,ACC-0024,ACC-0023,2890.0,USD,2026-04-11T13:33:00,mobile
TXN-000092,ACC-0024,ACC-0003,7456.51,USD,2026-04-07T13:20:00,transfer
TXN-000093,ACC-0024,ACC-0009,7035.15,USD,2026-03-26T18:15:00,mobile
TXN-000094,ACC-0024,ACC-0015,5388.22,USD,2026-03-29T09:38:00,transfer
TXN-000095,ACC-0024,ACC-0003,6258.4,USD,2026-04-11T20:01:00,transfer
TXN-000096,ACC-0025,ACC-0023,3644.17,USD,2026-03-20T21:20:00,mobile
TXN-000097,ACC-0025,ACC-0020,5610.61,USD,2026-03-16T10:58:00,transfer
TXN-000098,ACC-0025,ACC-0013,6246.11,USD,2026-04-12T18:59:00,transfer
TXN-000099,ACC-0025,ACC-0015,5993.06,USD,2026-04-04T18:05:00,transfer
TXN-000100,ACC-0025,ACC-0002,4592.21,USD,2026-03-25T11:55:00,transfer
TXN-000101,ACC-0014,HUB-0026,211.37,USD,2026-04-14T04:24:25,cash
TXN-000102,ACC-0022,HUB-0026,353.78,USD,2026-04-14T04:35:25,cash
TXN-000103,ACC-0024,HUB-0026,85.22,USD,2026-04-14T04:40:25,cash
TXN-000104,ACC-0019,HUB-0026,420.45,USD,2026-04-14T05:18:25,cash
TXN-000105,ACC-0023,HUB-0026,155.09,USD,2026-04-14T05:20:25,cash
TXN-000106,ACC-0001,HUB-0026,415.77,USD,2026-04-14T05:09:25,cash
TXN-000107,ACC-0020,HUB-0026,197.6,USD,2026-04-14T07:06:25,cash
TXN-000108,HUB-0026,ACC-0006,1226.09,USD,2026-04-14T16:24:25,transfer
TXN-000109,HUB-0026,ACC-0023,760.5,USD,2026-04-15T00:24:25,transfer
TXN-000110,HUB-0026,ACC-0014,405.92,USD,2026-04-14T22:24:25,transfer
TXN-000111,HUB-0026,ACC-0004,1343.46,USD,2026-04-14T16:24:25,transfer
TXN-000112,ACC-0009,HUB-0027,132.66,USD,2026-04-14T01:24:25,cash
TXN-000113,ACC-0024,HUB-0027,325.07,USD,2026-04-14T01:38:25,cash
TXN-000114,ACC-0006,HUB-0027,426.88,USD,2026-04-14T01:46:25,cash
TXN-000115,ACC-0025,HUB-0027,285.66,USD,2026-04-14T02:51:25,cash
TXN-000116,ACC-0004,HUB-0027,183.44,USD,2026-04-14T02:40:25,cash
TXN-000117,ACC-0002,HUB-0027,340.15,USD,2026-04-14T02:29:25,cash
TXN-000118,ACC-0003,HUB-0027,196.12,USD,2026-04-14T03:18:25,cash
TXN-000119,ACC-0022,HUB-0027,214.94,USD,2026-04-14T02:41:25,cash
TXN-000120,HUB-0027,ACC-0005,962.06,USD,2026-04-14T14:24:25,transfer
TXN-000121,HUB-0027,ACC-0017,549.47,USD,2026-04-14T10:24:25,transfer
TXN-000122,HUB-0027,ACC-0008,1159.49,USD,2026-04-14T15:24:25,transfer
TXN-000123,HUB-0027,ACC-0020,300.37,USD,2026-04-14T18:24:25,transfer
TXN-000124,ACC-0019,HUB-0028,436.44,USD,2026-04-14T04:24:25,cash
TXN-000125,ACC-0003,HUB-0028,398.44,USD,2026-04-14T04:31:25,cash
TXN-000126,ACC-0001,HUB-0028,158.58,USD,2026-04-14T04:52:25,cash
TXN-000127,ACC-0014,HUB-0028,379.87,USD,2026-04-14T04:51:25,cash
TXN-000128,ACC-0024,HUB-0028,207.31,USD,2026-04-14T06:12:25,cash
TXN-000129,ACC-0022,HUB-0028,357.41,USD,2026-04-14T06:14:25,cash
TXN-000130,ACC-0015,HUB-0028,116.49,USD,2026-04-14T05:30:25,cash
TXN-000131,ACC-0004,HUB-0028,212.69,USD,2026-04-14T05:20:25,cash
TXN-000132,ACC-0021,HUB-0028,202.09,USD,2026-04-14T05:52:25,cash
TXN-000133,HUB-0028,ACC-0011,1362.96,USD,2026-04-14T22:24:25,transfer
TXN-000134,HUB-0028,ACC-0017,896.49,USD,2026-04-14T19:24:25,transfer
TXN-000135,HUB-0028,ACC-0002,540.05,USD,2026-04-14T17:24:25,transfer
TXN-000136,HUB-0028,ACC-0015,347.32,USD,2026-04-14T14:24:25,transfer
TXN-000137,ACC-0021,LAY-0029,1013.12,USD,2026-04-10T09:24:25,transfer
TXN-000138,ACC-0017,LAY-0029,969.68,USD,2026-04-10T15:24:25,transfer
TXN-000139,ACC-0020,LAY-0029,987.29,USD,2026-04-10T16:24:25,transfer
TXN-000140,ACC-0014,LAY-0029,418.06,USD,2026-04-10T04:24:25,transfer
TXN-000141,ACC-0016,LAY-0029,778.44,USD,2026-04-10T13:24:25,transfer
TXN-000142,ACC-0006,LAY-0029,879.73,USD,2026-04-10T06:24:25,transfer
TXN-000143,LAY-0029,LAY-0030,5984.03,USD,2026-04-10T16:24:25,transfer
TXN-000144,LAY-0030,LAY-0031,5685.31,USD,2026-04-10T19:24:25,transfer
TXN-000145,LAY-0031,LAY-0032,5210.18,USD,2026-04-10T21:24:25,transfer
TXN-000146,LAY-0032,ACC-0024,4689.16,USD,2026-04-11T02:24:25,transfer
TXN-000147,ACC-0021,LAY-0033,871.61,USD,2026-04-11T03:24:25,transfer
TXN-000148,ACC-0006,LAY-0033,999.28,USD,2026-04-11T05:24:25,transfer
TXN-000149,ACC-0002,LAY-0033,1051.33,USD,2026-04-11T02:24:25,transfer
TXN-000150,ACC-0024,LAY-0033,684.86,USD,2026-04-11T03:24:25,transfer
TXN-000151,ACC-0025,LAY-0033,1479.96,USD,2026-04-11T00:24:25,transfer
TXN-000152,ACC-0003,LAY-0033,548.08,USD,2026-04-11T02:24:25,transfer
TXN-000153,LAY-0033,LAY-0034,6804.78,USD,2026-04-11T13:24:25,transfer
TXN-000154,LAY-0034,LAY-0035,6102.89,USD,2026-04-11T17:24:25,transfer
TXN-000155,LAY-0035,LAY-0036,5622.18,USD,2026-04-11T22:24:25,transfer
TXN-000156,LAY-0036,ACC-0009,5059.96,USD,2026-04-12T02:24:25,transfer
TXN-000157,ACC-0010,LAY-0037,556.66,USD,2026-04-10T17:24:25,transfer
TXN-000158,ACC-0023,LAY-0037,975.99,USD,2026-04-10T19:24:25,transfer
TXN-000159,ACC-0022,LAY-0037,691.63,USD,2026-04-10T15:24:25,transfer
TXN-000160,ACC-0001,LAY-0037,1216.91,USD,2026-04-10T19:24:25,transfer
TXN-000161,ACC-0018,LAY-0037,1321.39,USD,2026-04-10T14:24:25,transfer
TXN-000162,ACC-0017,LAY-0037,432.32,USD,2026-04-10T18:24:25,transfer
TXN-000163,LAY-0037,LAY-0038,4056.78,USD,2026-04-11T10:24:25,transfer
TXN-000164,LAY-0038,LAY-0039,3876.52,USD,2026-04-11T14:24:25,transfer
TXN-000165,LAY-0039,ACC-0025,3488.87,USD,2026-04-11T19:24:25,transfer
TXN-000166,EMP-0040,FAN-0042,798.23,USD,2026-04-14T06:00:00,transfer
TXN-000167,EMP-0040,FAN-0043,794.96,USD,2026-04-14T06:00:00,transfer
TXN-000168,EMP-0040,FAN-0044,801.51,USD,2026-04-14T06:00:00,transfer
TXN-000169,EMP-0040,FAN-0045,786.35,USD,2026-04-14T06:00:00,transfer
TXN-000170,EMP-0040,FAN-0046,792.4,USD,2026-04-14T06:00:00,transfer
TXN-000171,EMP-0040,FAN-0047,796.15,USD,2026-04-14T06:00:00,transfer
TXN-000172,EMP-0040,FAN-0048,787.78,USD,2026-04-14T06:00:00,transfer
TXN-000173,EMP-0040,FAN-0049,794.77,USD,2026-04-14T06:00:00,transfer
TXN-000174,EMP-0040,FAN-0042,779.07,USD,2026-04-07T06:38:00,transfer
TXN-000175,EMP-0040,FAN-0043,803.18,USD,2026-04-07T06:38:00,transfer
TXN-000176,EMP-0040,FAN-0044,785.73,USD,2026-04-07T06:38:00,transfer
TXN-000177,EMP-0040,FAN-0045,800.12,USD,2026-04-07T06:38:00,transfer
TXN-000178,EMP-0040,FAN-0046,802.71,USD,2026-04-07T06:38:00,transfer
TXN-000179,EMP-0040,FAN-0047,801.02,USD,2026-04-07T06:38:00,transfer
TXN-000180,EMP-0040,FAN-0048,789.44,USD,2026-04-07T06:38:00,transfer
TXN-000181,EMP-0040,FAN-0049,781.22,USD,2026-04-07T06:38:00,transfer
TXN-000182,EMP-0040,FAN-0042,773.91,USD,2026-03-31T06:19:00,transfer
TXN-000183,EMP-0040,FAN-0043,773.16,USD,2026-03-31T06:19:00,transfer
TXN-000184,EMP-0040,FAN-0044,779.98,USD,2026-03-31T06:19:00,transfer
TXN-000185,EMP-0040,FAN-0045,784.53,USD,2026-03-31T06:19:00,transfer
TXN-000186,EMP-0040,FAN-0046,783.84,USD,2026-03-31T06:19:00,transfer
TXN-000187,EMP-0040,FAN-0047,796.08,USD,2026-03-31T06:19:00,transfer
TXN-000188,EMP-0040,FAN-0048,796.22,USD,2026-03-31T06:19:00,transfer
TXN-000189,EMP-0040,FAN-0049,781.09,USD,2026-03-31T06:19:00,transfer
TXN-000190,EMP-0040,FAN-0042,801.15,USD,2026-03-24T07:44:00,transfer
TXN-000191,EMP-0040,FAN-0043,796.95,USD,2026-03-24T07:44:00,transfer
TXN-000192,EMP-0040,FAN-0044,790.29,USD,2026-03-24T07:44:00,transfer
TXN-000193,EMP-0040,FAN-0045,783.88,USD,2026-03-24T07:44:00,transfer
TXN-000194,EMP-0040,FAN-0046,798.65,USD,2026-03-24T07:44:00,transfer
TXN-000195,EMP-0040,FAN-0047,793.13,USD,2026-03-24T07:44:00,transfer
TXN-000196,EMP-0040,FAN-0048,802.26,USD,2026-03-24T07:44:00,transfer
TXN-000197,EMP-0040,FAN-0049,780.45,USD,2026-03-24T07:44:00,transfer
TXN-000198,EMP-0041,FAN-0050,896.84,USD,2026-04-14T09:00:00,transfer
TXN-000199,EMP-0041,FAN-0051,904.48,USD,2026-04-14T09:00:00,transfer
TXN-000200,EMP-0041,FAN-0052,878.0,USD,2026-04-14T09:00:00,transfer
TXN-000201,EMP-0041,FAN-0053,885.86,USD,2026-04-14T09:00:00,transfer
TXN-000202,EMP-0041,FAN-0054,883.1,USD,2026-04-14T09:00:00,transfer
TXN-000203,EMP-0041,FAN-0055,901.05,USD,2026-04-14T09:00:00,transfer
TXN-000204,EMP-0041,FAN-0056,911.08,USD,2026-04-14T09:00:00,transfer
TXN-000205,EMP-0041,FAN-0050,907.75,USD,2026-04-07T07:33:00,transfer
TXN-000206,EMP-0041,FAN-0051,887.64,USD,2026-04-07T07:33:00,transfer
TXN-000207,EMP-0041,FAN-0052,888.43,USD,2026-04-07T07:33:00,transfer
TXN-000208,EMP-0041,FAN-0053,889.74,USD,2026-04-07T07:33:00,transfer
TXN-000209,EMP-0041,FAN-0054,882.69,USD,2026-04-07T07:33:00,transfer
TXN-000210,EMP-0041,FAN-0055,886.4,USD,2026-04-07T07:33:00,transfer
TXN-000211,EMP-0041,FAN-0056,904.92,USD,2026-04-07T07:33:00,transfer
TXN-000212,EMP-0041,FAN-0050,893.51,USD,2026-03-31T07:35:00,transfer
TXN-000213,EMP-0041,FAN-0051,886.85,USD,2026-03-31T07:35:00,transfer
TXN-000214,EMP-0041,FAN-0052,906.95,USD,2026-03-31T07:35:00,transfer
TXN-000215,EMP-0041,FAN-0053,899.46,USD,2026-03-31T07:35:00,transfer
TXN-000216,EMP-0041,FAN-0054,903.09,USD,2026-03-31T07:35:00,transfer
TXN-000217,EMP-0041,FAN-0055,883.26,USD,2026-03-31T07:35:00,transfer
TXN-000218,EMP-0041,FAN-0056,897.2,USD,2026-03-31T07:35:00,transfer
TXN-000219,EMP-0041,FAN-0050,900.82,USD,2026-03-24T09:35:00,transfer
TXN-000220,EMP-0041,FAN-0051,882.4,USD,2026-03-24T09:35:00,transfer
TXN-000221,EMP-0041,FAN-0052,911.17,USD,2026-03-24T09:35:00,transfer
TXN-000222,EMP-0041,FAN-0053,884.5,USD,2026-03-24T09:35:00,transfer
TXN-000223,EMP-0041,FAN-0054,881.13,USD,2026-03-24T09:35:00,transfer
TXN-000224,EMP-0041,FAN-0055,901.52,USD,2026-03-24T09:35:00,transfer
TXN-000225,EMP-0041,FAN-0056,912.18,USD,2026-03-24T09:35:00,transfer
TXN-000226,ACC-0011,CSH-0057,771.53,USD,2026-04-07T20:26:00,cash
TXN-000227,ACC-0011,CSH-0057,229.18,USD,2026-04-07T14:05:00,cash
TXN-000228,ACC-0025,CSH-0057,429.51,USD,2026-04-13T10:40:00,cash
TXN-000229,ACC-0025,CSH-0057,406.4,USD,2026-04-08T20:16:00,cash
TXN-000230,ACC-0025,CSH-0057,556.69,USD,2026-03-29T09:11:00,cash
TXN-000231,ACC-0025,CSH-0057,710.54,USD,2026-03-25T15:38:00,cash
TXN-000232,ACC-0007,CSH-0057,772.57,USD,2026-04-04T13:47:00,cash
TXN-000233,ACC-0007,CSH-0057,498.1,USD,2026-03-26T11:30:00,cash
TXN-000234,ACC-0007,CSH-0057,424.86,USD,2026-04-10T16:28:00,cash
TXN-000235,ACC-0003,CSH-0057,517.05,USD,2026-03-29T16:38:00,cash
TXN-000236,ACC-0003,CSH-0057,424.79,USD,2026-03-28T16:39:00,cash
TXN-000237,ACC-0003,CSH-0057,775.48,USD,2026-04-11T16:02:00,cash
TXN-000238,ACC-0022,CSH-0057,341.81,USD,2026-03-31T12:07:00,cash
TXN-000239,ACC-0022,CSH-0057,722.09,USD,2026-04-14T15:27:00,cash
TXN-000240,ACC-0022,CSH-0057,236.73,USD,2026-04-04T09:46:00,cash
TXN-000241,ACC-0022,CSH-0057,766.12,USD,2026-04-11T17:27:00,cash
TXN-000242,ACC-0008,CSH-0057,621.31,USD,2026-04-11T11:37:00,cash
TXN-000243,ACC-0008,CSH-0057,638.32,USD,2026-04-10T12:49:00,cash
TXN-000244,ACC-0020,CSH-0057,770.72,USD,2026-04-03T20:03:00,cash
TXN-000245,ACC-0020,CSH-0057,253.8,USD,2026-04-08T09:12:00,cash
TXN-000246,ACC-0013,CSH-0057,627.35,USD,2026-04-08T12:33:00,cash
TXN-000247,ACC-0013,CSH-0057,433.39,USD,2026-04-09T16:16:00,cash
TXN-000248,ACC-0013,CSH-0057,730.11,USD,2026-04-03T14:58:00,cash
TXN-000249,ACC-0013,CSH-0057,551.95,USD,2026-04-07T13:01:00,cash
TXN-000250,CSH-0057,ACC-0004,1932.58,USD,2026-04-13T21:55:00,transfer
TXN-000251,CSH-0057,ACC-0006,1099.9,USD,2026-04-12T21:52:00,transfer
TXN-000252,CSH-0057,ACC-0019,1756.72,USD,2026-04-12T11:45:00,transfer
TXN-000253,ACC-0022,CSH-0058,523.4,USD,2026-04-14T13:34:00,cash
TXN-000254,ACC-0022,CSH-0058,119.77,USD,2026-04-04T10:59:00,cash
TXN-000255,ACC-0022,CSH-0058,746.56,USD,2026-04-01T20:59:00,cash
TXN-000256,ACC-0016,CSH-0058,351.26,USD,2026-04-14T11:23:00,cash
TXN-000257,ACC-0016,CSH-0058,288.71,USD,2026-03-27T14:43:00,cash
TXN-000258,ACC-0016,CSH-0058,764.55,USD,2026-04-04T20:57:00,cash
TXN-000259,ACC-0016,CSH-0058,522.13,USD,2026-04-06T15:10:00,cash
TXN-000260,ACC-0011,CSH-0058,161.46,USD,2026-04-05T17:05:00,cash
TXN-000261,ACC-0011,CSH-0058,157.09,USD,2026-03-30T10:50:00,cash
TXN-000262,ACC-0021,CSH-0058,703.45,USD,2026-04-11T14:24:00,cash
TXN-000263,ACC-0021,CSH-0058,686.42,USD,2026-04-07T12:03:00,cash
TXN-000264,ACC-0010,CSH-0058,377.62,USD,2026-04-06T21:35:00,cash
TXN-000265,ACC-0010,CSH-0058,338.81,USD,2026-03-25T09:55:00,cash
TXN-000266,ACC-0010,CSH-0058,448.34,USD,2026-04-08T15:17:00,cash
TXN-000267,ACC-0010,CSH-0058,597.11,USD,2026-04-09T11:56:00,cash
TXN-000268,ACC-0024,CSH-0058,208.67,USD,2026-04-14T19:03:00,cash
TXN-000269,ACC-0024,CSH-0058,201.48,USD,2026-04-05T14:30:00,cash
TXN-000270,ACC-0024,CSH-0058,347.76,USD,2026-04-10T13:41:00,cash
TXN-000271,ACC-0024,CSH-0058,748.05,USD,2026-04-06T12:20:00,cash
TXN-000272,ACC-0020,CSH-0058,753.06,USD,2026-04-07T13:27:00,cash
TXN-000273,ACC-0020,CSH-0058,491.87,USD,2026-03-26T10:51:00,cash
TXN-000274,ACC-0001,CSH-0058,235.0,USD,2026-03-25T18:43:00,cash
TXN-000275,ACC-0001,CSH-0058,197.81,USD,2026-03-30T15:23:00,cash
TXN-000276,CSH-0058,ACC-0020,822.01,USD,2026-04-11T17:29:00,transfer
TXN-000277,CSH-0058,ACC-0025,921.18,USD,2026-04-13T16:14:00,transfer
TXN-000278,CSH-0058,ACC-0008,1833.01,USD,2026-04-12T17:02:00,transfer
TXN-000279,ACC-0023,CSH-0059,703.24,USD,2026-04-13T12:17:00,cash
TXN-000280,ACC-0023,CSH-0059,160.95,USD,2026-04-01T09:04:00,cash
TXN-000281,ACC-0007,CSH-0059,152.16,USD,2026-04-07T10:07:00,cash
TXN-000282,ACC-0007,CSH-0059,702.21,USD,2026-04-12T09:46:00,cash
TXN-000283,ACC-0011,CSH-0059,221.89,USD,2026-04-03T21:23:00,cash
TXN-000284,ACC-0011,CSH-0059,399.85,USD,2026-04-02T18:03:00,cash
TXN-000285,ACC-0011,CSH-0059,424.18,USD,2026-03-30T12:32:00,cash
TXN-000286,ACC-0015,CSH-0059,317.69,USD,2026-04-03T11:44:00,cash
TXN-000287,ACC-0015,CSH-0059,546.45,USD,2026-04-05T18:02:00,cash
TXN-000288,ACC-0024,CSH-0059,486.02,USD,2026-04-08T09:32:00,cash
TXN-000289,ACC-0024,CSH-0059,427.02,USD,2026-03-25T12:39:00,cash
TXN-000290,ACC-0024,CSH-0059,621.54,USD,2026-04-06T17:26:00,cash
TXN-000291,ACC-0024,CSH-0059,436.34,USD,2026-04-11T09:10:00,cash
TXN-000292,ACC-0004,CSH-0059,219.88,USD,2026-04-09T12:08:00,cash
TXN-000293,ACC-0004,CSH-0059,736.86,USD,2026-04-01T10:37:00,cash
TXN-000294,ACC-0018,CSH-0059,246.21,USD,2026-04-12T21:15:00,cash
TXN-000295,ACC-0018,CSH-0059,475.01,USD,2026-03-29T21:59:00,cash
TXN-000296,ACC-0018,CSH-0059,525.78,USD,2026-03-26T16:43:00,cash
TXN-000297,ACC-0002,CSH-0059,780.28,USD,2026-04-06T20:36:00,cash
TXN-000298,ACC-0002,CSH-0059,491.74,USD,2026-03-29T16:08:00,cash
TXN-000299,ACC-0002,CSH-0059,753.68,USD,2026-03-31T17:22:00,cash
TXN-000300,ACC-0002,CSH-0059,655.03,USD,2026-03-30T21:15:00,cash
TXN-000301,CSH-0059,ACC-0020,602.52,USD,2026-04-09T10:10:00,transfer
TXN-000302,CSH-0059,ACC-0004,1403.42,USD,2026-04-10T11:33:00,transfer
TXN-000303,CSH-0059,ACC-0005,1378.35,USD,2026-04-09T13:51:00,transfer
TXN-000304,NOC-0062,NOC-0063,298.34,USD,2026-04-13T23:38:00,mobile
TXN-000305,NOC-0062,NOC-0061,735.46,USD,2026-04-10T00:40:00,mobile
TXN-000306,NOC-0062,NOC-0063,429.43,USD,2026-03-31T00:21:00,mobile
TXN-000307,NOC-0061,NOC-0060,608.38,USD,2026-04-06T02:14:00,mobile
TXN-000308,NOC-0060,NOC-0062,358.67,USD,2026-03-30T00:30:00,mobile
TXN-000309,NOC-0062,NOC-0061,616.83,USD,2026-04-09T01:59:00,mobile
